timestamp,open,high,low,close,volume
1/6/23 13:30,260.2,264.89,260.17,262.37,966659
1/6/23 14:35,264.15,264.63,261.46,261.76,1285619
1/12/23 13:25,278.62,279.3,275.61,275.89,227865
1/12/23 13:30,276.44,277.57,273.3,277.31,1537295
1/19/23 13:00,275.59,278.088,275.07,275.2,132135
1/25/23 13:00,284.61,288.586,284.3804,284.64,161067
1/30/23 13:00,292.43,296.482,291.94,292.72,112295
2/1/23 19:35,293.37,297.04,293.1001,296.79,2345476
2/1/23 23:15,304.15,304.42,300.92,304.37,125624
2/2/23 13:00,305.85,305.89,301.145,305.45,160469
2/2/23 21:00,311.73,314,309.75,311.52,1329817
2/2/23 21:05,311.46,311.73,308.6,308.83,2454182
2/2/23 21:10,308.84,311.72,308,308.23,914470
2/2/23 21:20,307.98,311.72,307.23,308.31,1221033
2/2/23 21:35,311.72,311.72,306.7,306.95,463596
2/2/23 22:20,306.92,311.72,306.82,306.9,142025
2/3/23 13:00,307.45,311.953,305.29,308.86,161795
2/3/23 13:30,309.2,309.2,306.01,306.8,1152799
2/6/23 13:00,303.3,306.409,302.3185,303.75,127684
2/9/23 13:00,307.99,308.51,304.598,307.62,84182
2/10/23 13:00,298.53,302.2,297.93,298.57,168357
2/13/23 13:00,301.08,301.85,298.33,301.46,105492
2/14/23 13:30,305.38,308,302.58,306.33,1767000
2/16/23 21:00,303.28,309.2121,302.94,303.21,627846
2/16/23 21:25,302.84,307.84,302.68,302.68,133776
2/24/23 13:00,294.25,297.042,293.9196,294.2,90778
3/2/23 13:00,289.2,291.418,288.25,289.41,100644
3/10/23 13:30,292.81,295.05,290.89,294.5,1349858
3/10/23 13:40,294.02,294.75,291.09,294.57,388777
3/13/23 8:00,293.26,297.1,292.66,292.71,24982
3/13/23 12:00,290.68,294.68,288.766,290.37,200192
3/13/23 13:45,285.67,289.09,285.46,288.7199,2669082
3/14/23 12:30,293.17,294.6,289,292.48,1018739
3/15/23 12:00,293.35,298,292.0896,293,322843
3/20/23 12:00,304.49,305.69,302.1596,304.67,129620
3/23/23 12:00,309.1982,309.5496,306.349,308.67,127901
3/24/23 12:00,308.8,311.74,307.7,307.73,287625
3/30/23 15:20,316.0599,316.19,312.8088,315.66,901090
3/31/23 19:00,319.61,320.1291,315.6545,320.1,1229530
4/5/23 16:00,315.12,319.06,314.86,314.8887,530359
4/12/23 12:30,315.35,319.6,315.35,319.57,1395409
4/20/23 12:00,316.12,318.949,315.28,315.56,111931
4/25/23 20:00,309.96,313.16,309.8,312.82,1988779
4/26/23 12:00,312.1592,314.38,310.222,312.19,172474
4/27/23 12:00,314.61,315.62,312.103,315.52,148964
4/27/23 20:00,320.35,322.8,319.65,322.43,1167086
5/5/23 14:45,321.62,321.63,316.2116,321.4,779905
