timestamp,open,high,low,close,volume,timestamp_utc,moon_longitude,moon_sign,nakshatra,moon_house,utc,moon_long,solar_arc,prog_lagna_long,prog_lagna_house,lunar_return,rahu_long,ketu_long,node_hits_lagna,sun_long,sun_cusp_cross,moon_cusp_cross,mercury_long,mercury_cusp_cross,venus_long,venus_cusp_cross,mars_long,mars_cusp_cross,jupiter_long,jupiter_cusp_cross,saturn_long,saturn_cusp_cross,uranus_long,uranus_cusp_cross,neptune_long,neptune_cusp_cross,pluto_long,pluto_cusp_cross,any_cusp_cross
2023-01-06 13:30:00-05:00,260.2,264.89,260.17,262.37,966659,2023-01-06 18:30:00+00:00,102.66938325001684,Cancer,Punarvasu,3,2023-01-06 18:30:00+00:00,104.06210693156605,319.6566522727294,358.2791522727294,4,False,39.90046577378541,219.9004657737854,True,286.1640230130949,False,False,287.9761469013513,False,304.6075226451921,False,68.37283288823389,True,1.932421727463935,False,323.00907018414836,False,45.05420176946902,False,352.971427019965,False,297.84213849988197,False,True
2023-01-06 14:35:00-05:00,264.15,264.63,261.46,261.76,1285619,2023-01-06 19:35:00+00:00,103.26415112501128,Cancer,Punarvasu,3,2023-01-06 19:35:00+00:00,104.5998570751783,319.6566522727294,358.2791522727294,4,False,39.89807549771638,219.89807549771638,True,286.21001253893075,False,False,287.9162581014664,False,304.66400600025423,False,68.36920733601427,True,1.9385386689421766,False,323.01379559876744,False,45.05357740527287,False,352.9722840434218,False,297.84359456571894,False,True
2023-01-12 13:25:00-05:00,278.62,279.3,275.61,275.89,227865,2023-01-12 18:25:00+00:00,181.682007875017,Virgo,Uttara Phalguni,5,2023-01-12 18:25:00+00:00,175.65801685670743,325.76925863128565,4.391758631285654,6,False,39.58292679137537,219.58292679137537,True,292.27293793123135,False,False,280.6972404548042,False,312.1068352652729,False,68.1292141649342,True,2.787872271929974,False,323.65013621602503,False,44.98587926116017,False,353.0940558234648,False,298.03680340512676,False,True
2023-01-12 13:30:00-05:00,276.44,277.57,273.3,277.31,1537295,2023-01-12 18:30:00+00:00,181.7277592500177,Virgo,Uttara Phalguni,5,2023-01-12 18:30:00+00:00,175.70034045405058,325.76925863128565,4.391758631285654,6,False,39.58274292398539,219.5827429239854,True,292.2764749057971,False,False,280.6941128397368,False,312.1111751308925,False,68.1292095610989,True,2.788392000548942,False,323.65051482994926,False,44.98584835133922,False,353.09413186523454,False,298.0369166972857,False,True
2023-01-19 13:00:00-05:00,275.59,278.088,275.07,275.2,132135,2023-01-19 18:00:00+00:00,273.6880230000097,Sagittarius,Mula,8,2023-01-19 18:00:00+00:00,269.25818936912185,332.89927504330996,11.521775043309958,9,False,39.21316947022501,219.213169470225,True,299.3850715244339,False,False,278.23319422217446,True,320.8284302667632,False,68.42428124354166,True,3.887424901816771,False,324.427385496931,False,44.94487603737306,False,353.25865527986343,False,298.2655229477404,False,True
2023-01-25 13:00:00-05:00,284.61,288.586,284.3804,284.64,161067,2023-01-25 18:00:00+00:00,352.74639900001057,Pisces,Uttara Bhadrapada,11,2023-01-25 18:00:00+00:00,359.5291899355399,339.00692513751574,17.62942513751574,12,False,38.89544662042499,218.895446620425,True,305.49176775074403,False,False,281.1225152446321,False,328.3109170002529,False,69.1359221362236,False,4.913789520870113,False,325.1170297206132,False,44.94380583875548,False,353.41752638034336,False,298.4619669877301,False,False
2023-01-30 13:00:00-05:00,292.43,296.482,291.94,292.72,112295,2023-01-30 18:00:00+00:00,58.62837900001614,Gemini,Rohini,1,2023-01-30 18:00:00+00:00,64.81089020438394,344.0892912894333,22.71179128943328,2,False,38.630677578924974,218.63067757892497,True,310.5729617508003,False,False,285.6295203485162,False,334.53431427530245,False,70.01959370391648,False,5.820924943376653,False,325.70344944250996,False,44.96709417526166,False,353.56092272921063,False,298.62402753417774,False,False
2023-02-01 19:35:00-05:00,293.37,297.04,293.1001,296.79,2345476,2023-02-02 00:35:00+00:00,88.59552962500311,Cancer,Ardra,2,2023-02-02 00:35:00+00:00,92.1820741479334,347.1348510320344,25.75735103203442,3,False,38.51024443852043,218.51024443852043,True,312.8815133738439,False,False,288.0848308545493,False,337.36090935097104,False,70.50067448116614,False,6.247988288191596,False,325.97307814951256,False,44.985028548723456,False,353.6292952470879,False,298.69707198639986,False,False
2023-02-01 23:15:00-05:00,304.15,304.42,300.92,304.37,125624,2023-02-02 04:15:00+00:00,90.60859012501896,Cancer,Ardra,2,2023-02-02 04:15:00+00:00,94.00127444565943,347.1348510320344,25.75735103203442,3,False,38.502154273363544,218.50215427336354,True,313.036529222003,False,False,288.2569405096685,False,337.5506864928064,False,70.53465900575554,False,6.2769842021459965,False,325.9912452846214,False,44.986395538894335,False,353.633954014743,False,298.7019590564348,False,False
2023-02-02 13:00:00-05:00,305.85,305.89,301.145,305.45,160469,2023-02-02 18:00:00+00:00,98.15756700001656,Cancer,Ardra,3,2023-02-02 18:00:00+00:00,100.81261372941267,347.1348510320344,25.75735103203442,3,False,38.471816154024964,218.47181615402496,True,313.6177680718115,False,False,288.9097247626008,False,338.26223446390236,True,70.66392417252864,False,6.386056614294417,False,326.0594285664023,False,44.991702217182684,False,353.65149571801373,False,298.7202610163958,False,True
