timestamp,open,high,low,close,volume,timestamp_utc,moon_longitude,moon_sign,nakshatra,moon_house
2023-01-06 13:30:00-05:00,260.2,264.89,260.17,262.37,966659,2023-01-06 18:30:00+00:00,102.66938325001684,Cancer,Ardra,3
2023-01-06 14:35:00-05:00,264.15,264.63,261.46,261.76,1285619,2023-01-06 19:35:00+00:00,103.26415112501127,Cancer,Ardra,3
2023-01-12 13:25:00-05:00,278.62,279.3,275.61,275.89,227865,2023-01-12 18:25:00+00:00,181.682007875017,Libra,Uttara Phalguni,5
2023-01-12 13:30:00-05:00,276.44,277.57,273.3,277.31,1537295,2023-01-12 18:30:00+00:00,181.7277592500177,Libra,Uttara Phalguni,5
2023-01-19 13:00:00-05:00,275.59,278.088,275.07,275.2,132135,2023-01-19 18:00:00+00:00,273.6880230000097,Capricorn,Mula,8
2023-01-25 13:00:00-05:00,284.61,288.586,284.3804,284.64,161067,2023-01-25 18:00:00+00:00,352.74639900001057,Pisces,Purva Bhadrapada,11
2023-01-30 13:00:00-05:00,292.43,296.482,291.94,292.72,112295,2023-01-30 18:00:00+00:00,58.62837900001614,Taurus,Krittika,1
2023-02-01 19:35:00-05:00,293.37,297.04,293.1001,296.79,2345476,2023-02-02 00:35:00+00:00,88.59552962500311,Gemini,Mrigashirsha,2
2023-02-01 23:15:00-05:00,304.15,304.42,300.92,304.37,125624,2023-02-02 04:15:00+00:00,90.60859012501896,Cancer,Mrigashirsha,2
2023-02-02 13:00:00-05:00,305.85,305.89,301.145,305.45,160469,2023-02-02 18:00:00+00:00,98.15756700001657,Cancer,Ardra,2
2023-02-02 21:00:00-05:00,311.73,314.0,309.75,311.52,1329817,2023-02-03 02:00:00+00:00,102.5496990000247,Cancer,Ardra,3
2023-02-02 21:05:00-05:00,311.46,311.73,308.6,308.83,2454182,2023-02-03 02:05:00+00:00,102.59545037499629,Cancer,Ardra,3
2023-02-02 21:10:00-05:00,308.84,311.72,308.0,308.23,914470,2023-02-03 02:10:00+00:00,102.64120175001153,Cancer,Ardra,3
2023-02-02 21:20:00-05:00,307.98,311.72,307.23,308.31,1221033,2023-02-03 02:20:00+00:00,102.73270450001291,Cancer,Ardra,3
2023-02-02 21:35:00-05:00,311.72,311.72,306.7,306.95,463596,2023-02-03 02:35:00+00:00,102.86995862500044,Cancer,Ardra,3
2023-02-02 22:20:00-05:00,306.92,311.72,306.82,306.9,142025,2023-02-03 03:20:00+00:00,103.28172100000666,Cancer,Ardra,3
2023-02-03 13:00:00-05:00,307.45,311.953,305.29,308.86,161795,2023-02-03 18:00:00+00:00,111.33396300001186,Cancer,Punarvasu,3
2023-02-03 13:30:00-05:00,309.2,309.2,306.01,306.8,1152799,2023-02-03 18:30:00+00:00,111.60847125001601,Cancer,Punarvasu,3
2023-02-06 13:00:00-05:00,303.3,306.409,302.3185,303.75,127684,2023-02-06 18:00:00+00:00,150.8631510000123,Virgo,Magha,4
2023-02-09 13:00:00-05:00,307.99,308.51,304.598,307.62,84182,2023-02-09 18:00:00+00:00,190.39233900001273,Libra,Hasta,6
2023-02-10 13:00:00-05:00,298.53,302.2,297.93,298.57,168357,2023-02-10 18:00:00+00:00,203.56873500000802,Libra,Chitra,6
2023-02-13 13:00:00-05:00,301.08,301.85,298.33,301.46,105492,2023-02-13 18:00:00+00:00,243.09792300000845,Sagittarius,Anuradha,7
2023-02-14 13:30:00-05:00,305.38,308.0,302.58,306.33,1767000,2023-02-14 18:30:00+00:00,256.54882725002244,Sagittarius,Jyeshtha,8
2023-02-16 21:00:00-05:00,303.28,309.2121,302.94,303.21,627846,2023-02-17 02:00:00+00:00,287.019243000017,Capricorn,Purva Ashadha,9
2023-02-16 21:25:00-05:00,302.84,307.84,302.68,302.68,133776,2023-02-17 02:25:00+00:00,287.24799987502047,Capricorn,Purva Ashadha,9
2023-02-24 13:00:00-05:00,294.25,297.042,293.9196,294.2,90778,2023-02-24 18:00:00+00:00,28.03827900001488,Aries,Ashwini,12
2023-03-02 13:00:00-05:00,289.2,291.418,288.25,289.41,100644,2023-03-02 18:00:00+00:00,107.09665500001574,Cancer,Punarvasu,3
2023-03-10 13:30:00-05:00,292.81,295.05,290.89,294.5,1349858,2023-03-10 18:30:00+00:00,212.78233125001134,Scorpio,Swati,6
2023-03-10 13:40:00-05:00,294.02,294.75,291.09,294.57,388777,2023-03-10 18:40:00+00:00,212.87383399999817,Scorpio,Swati,6
2023-03-13 08:00:00-04:00,293.26,297.1,292.66,292.71,24982,2023-03-13 12:00:00+00:00,248.74291200001608,Sagittarius,Anuradha,8
2023-03-13 12:00:00-04:00,290.68,294.68,288.766,290.37,200192,2023-03-13 16:00:00+00:00,250.9389780000056,Sagittarius,Jyeshtha,8
